date,show,run time,source,trump air time stamps,harris air time stamps,notes
4-Oct-24,“Crazy. Complete Nonsense.” - Chris Wallace On The Supreme Court’s Presidential Immunity Ruling,0:08:31,https://www.youtube.com/watch?v=unYvmMb0fvE&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=1 ,1:55-2:21 and 4:58-5:08 and 6:20-6:30 and 7:30-7:53,2:55-3:09 and 3:31-3:45,
8-Oct-24,The Late Show Presidential Nominee Interview,0:00:55,https://www.youtube.com/watch?v=4QLmShgI35M&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=2 ,0:00-0:20 and 0:38-0:43,0:28-0:35,
8-Oct-24,Getting To Know VP Kamala Harris | Trump's FEMA Lies Harm Hurricane Victims | Elon Is So Cringe,0:10:32,https://www.youtube.com/watch?v=6krLggTyfm4&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=3 ,7:13-7:58 and 8:49-9:37,0:47-1:15 and 1:44-3:14 and 3:53-4:11 and 5:00-5:32 and 5:56-6:06 and 10:12-10:26,
9-Oct-24,"""Have You No Empathy, Man?"" - VP Harris On Trump's Lies About FEMA's Hurricane Helene Relief Work",0:10:46,https://www.youtube.com/watch?v=KfgqM13RQvo&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=4 ,4:46 - 4:51 and 5:59 - 6:04 and 6:26 - 6:31,0:20 - 0:25 and 1:18 - 1:26 and 1:40 - 1:45 and 4:50 - 7:03 and 7:22 - 7:27 and 7:43 - 7:56 and 8:23 - 8:35 and 8:59 - 9:04 and 9:22 - 10:40,
9-Oct-24,"""I'm Not Joe Biden"" - What VP Kamala Harris Would Change If Elected President",0:05:30,https://www.youtube.com/watch?v=6eZw3GzmPGc&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=5 ,0:45-0:50 and 3:19-3:24,0:03-0:07 and 0:28-5:15,
9-Oct-24,"""Donald Trump Gets Played By These Guys"" - VP Harris On Trump's Relationships With Putin, Un & Orban",0:06:40,https://www.youtube.com/watch?v=Eax0axB_4es&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=7 ,3:38-3:43 and 4:11-4:28 and 5:10-5:15 and 5:54-6:06,0:00-6:30,
9-Oct-24,VP Kamala Harris Shares A Miller High Life With Stephen Colbert,0:05:07,https://www.youtube.com/watch?v=BK8hqzrrOaQ&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=7 ,1:45-1:50 and 2:43-2:48 and 3:04-4:17,0:01-4:56,
14-Oct-24,Do You Have The Murder Gene?,0:01:04,https://www.youtube.com/watch?v=k2dg1o8vgyg&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=9 ,0:00-0:14,,
14-Oct-24,Harris: My Opponent Is Weak & Unstable | Out Of Context Trump | Concert For Carolina,0:12:28,https://www.youtube.com/watch?v=bqYhl4T9SU0&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=9 ,0:53-0:55 and 2:07-7:45 and 8:00-8:55 and 9:20-9:38 and 9:57-10:10 and 11:32-11:51,0:40-0:52 and 1:02-1:20 and 1:41-1:46 and 2:10-2:50,
15-Oct-24,GOP Attacks Harris Over Seasonal Allergies,0:01:05,https://www.youtube.com/watch?v=hNWWW6nJqNY&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=10 ,0:13-15 and 0:48-0:50,0:00-0:12 and 0:21-0:47,
15-Oct-24,Trump's Bananapants Boo-Boo-Bonkers Town Hall | VP Harris Heads To Fox News,0:12:12,https://www.youtube.com/watch?v=fSsrHkOOOJo&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=11 ,0:26-1:21 and 1:45-2:13 and 2:25-2:59 and 3:25-5:40 and 5:47-6:05 and 6:50-7:03 and 7:16-7:45 and 7:54-9:47 and 10:07-10:25 and 10:51-10:55,8:58-9:43 and 9:50-10:25 and 11:06-11:30,
16-Oct-24,Don't Call Him Daddy,0:00:46,https://www.youtube.com/watch?v=WIQxNnBT99Y&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=12 ,0:00-0:32,,
17-Oct-24,Will Bret Baier Let VP Harris Finish?,0:01:08,https://www.youtube.com/watch?v=J6_Oxqai4XM&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=14 ,,0:00-0:53,
17-Oct-24,Harris Doesn't Fall For Baier's Bait On Fox News | Trump Flops At Univision Town Hall,0:10:59,https://www.youtube.com/watch?v=MNV498SCouA&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=14 ,1:14-1:30 and 2:45-2:53 and 3:07-3:23 and 3:54-4:18 and 5:14-5:47 and 7:10-10:19,0:22-0:40 and 1:48-2:12 and 2:25-2:32 and 2:54-3:06 and 3:24-3:39 and 6:13-6:20 and 6:45-7:09,
18-Oct-24,I Think President Biden Will Pardon His Son If He's Convicted - Bob Woodward On Hunter Biden,0:08:19,https://www.youtube.com/watch?v=N29urKEYx7A&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=15 ,1:18-1:25,1:18-1:25 and 7:04-8:00,
18-Oct-24,Bob Woodward Is Certain Donald Trump Is Unfit To Lead The Country,0:03:42,https://www.youtube.com/watch?v=lK2zOE_uTT8&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=16 ,0:10-1:55 and 2:15-3:14,,
21-Oct-24,Trump Offers TMI About Arnold Palmer,0:01:33,https://www.youtube.com/watch?v=wfI_6XMxftE&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=17 ,0:00-0:24 and 0:27-1:16,0:00-0:11,
21-Oct-24,"Harris Leads In Early Voting, Deftly Handles MAGA Heckler | Trump Fixates On Arnold Palmer's Manhood",0:12:23,https://www.youtube.com/watch?v=zmi0W96qYWw&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=18 ,0:33-0:36 and 2:53-2:55 and 3:43-3:46 and 6:07-6:14 and 8:03-8:50 and 10:02-10:07 and 11:22-11:25,1:18-2:17 and 8:55-8:59,
22-Oct-24,Women Are Voting Early | Harris Courts Trump-Weary Republicans | Congrats New York Liberty! ,0:12:30,https://www.youtube.com/watch?v=v9OOvk-V8FM&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=19 ,0:17 - 0:19 and 4:56 - 5:00 and 6:02 - 7:01,4:03 - 4:10 and 5:51 - 5:54,
22-Oct-24,Donald Trump’s Football Freudian Slip Trading Cards,0:01:10,https://www.youtube.com/watch?v=SkERwX6IB1o&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=20 ,0:00-0:48,,
23-Oct-24,Why Sen. Fetterman Is Hitting Some Of Pennsylvania’s Reddest Counties To Stump For Harris,0:07:27,https://www.youtube.com/watch?v=qGDfBPZYMqs&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=21,1:21-1:30 and 2:07-2:10 and 3:48-3:52 and 4:48-4:54 and 5:48-5:55,1:20-1:30 and 1:55-2:00 and 2:20-2:22 and 3:39-3:47 and ,
23-Oct-24,Trump Praises Hitler,0:01:05,https://www.youtube.com/watch?v=MKdKId_xcto&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=22 ,0:00-0:26,,
24-Oct-24,Trump To Play MSG | Tucker Carlson’s Weird Daddy Issues | Beyoncé To Rally For Harris,0:11:45,https://www.youtube.com/watch?v=FjzA2cPvr5E&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=23 ,2:54 - 3:15 and 0:54 - 1:01,2:51 - 2:56 and 8:25 - 8:36 and 9:01 - 9:06,
28-Oct-24,"Puerto Rico Insult Could Cost Trump PA | Beyoncé, Michelle Obama Rally With Harris | WaPo's Big Fail",0:11:41,https://www.youtube.com/watch?v=s7jvlJvTUZY&list=PLLUTEX3bD4_q73UMbGetc8tlw-BP4ephJ&index=24 ,0:37-1:05 and 4:55-5:05 and 5:52 - 5:54,2:19 - 2:39 and 6:00-6:52 and 10:00-10:07,
